"num_minors","hombre","bin_head","age","bin_headFemale","age2","estrato1","maximo_nivel_educativo","tamano_empresa","tiempo_empresa_actual","formal","hoursWorkUsual","ingreso_laboral_horas_actuales","oficio","log_ingreso_laboral_horas_actuales","age_grupo"
0,1,1,36,0,1296,"2","6","9",166,1,45,8404.3203125,"39",9.03650117552937,"35-44"
1,1,1,51,0,2601,"2","7","4",12,1,48,6703.3427734375,"85",8.81036160236774,"45-54"
3,1,1,45,0,2025,"2","4","3",15,1,56,3680.65405273438,"45",8.21084574709186,"45-54"
0,1,1,61,0,3721,"2","3","7",120,0,40,4083.33325195312,"53",8.31466890737492,"60+"
1,0,0,35,0,1225,"2","7","9",24,1,48,9437.84765625,"13",9.15248323062713,"35-44"
2,0,1,35,1,1225,"2","6","9",36,1,40,6317.5,"42",8.75107883926235,"35-44"
2,1,0,39,0,1521,"2","7","9",94,1,44,8571.46484375,"33",9.0561939239108,"35-44"
0,1,0,29,0,841,"2","7","1",6,0,40,4640.57059254366,"37",8.41448966174388,"25-34"
2,1,1,29,0,841,"2","6","2",24,1,54,3366.04931640625,"45",8.12149502598218,"25-34"
0,0,0,44,0,1936,"2","5","1",6,0,42,3540.95568847656,"57",8.10753703444939,"35-44"
1,1,0,31,0,961,"2","6","9",24,1,55,6089.8826385498,"45",8.50163749160376,"25-34"
1,0,0,18,0,324,"2","6","2",18,0,84,4124.76310306838,"45",8.23335415574435,"18-24"
0,1,1,55,0,3025,"2","6","2",2,0,48,8275.76228841146,"84",8.91284665143549,"55-60"
2,0,1,56,1,3136,"2","4","9",30,1,48,3990.27709960938,"55",8.29161595599613,"55-60"
0,1,0,23,0,529,"2","7","9",51,1,40,5146.94482421875,"39",8.54615857960671,"18-24"
0,1,0,30,0,900,"2","6","4",8,1,54,4104.10302734375,"53",8.3197424906641,"25-34"
0,0,1,50,1,2500,"2","7","1",72,0,48,5840.91949721514,"45",8.35566975822277,"45-54"
0,1,0,28,0,784,"2","7","9",24,1,48,4617.11572265625,"39",8.4375254866625,"25-34"
0,0,1,54,1,2916,"2","5","2",120,0,66,4127.39385986328,"79",8.30065899774788,"45-54"
0,1,0,36,0,1296,"2","6","2",36,0,16,4375,"37",8.38366179879172,"35-44"
0,0,1,53,1,2809,"2","5","1",120,0,40,4079.53727213542,"56",8.30616716033612,"45-54"
1,0,0,33,0,1089,"2","7","4",24,1,48,7736.45849609375,"39",8.95369930322765,"25-34"
1,1,1,38,0,1444,"2","6","9",96,1,48,3868.87915039062,"37",8.26072011885228,"35-44"
